,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions,prompt_length,prompt_word_count,custom_score_100,custom_grade,rank_band,has_keywords,keyword_count,keyword_density
104,data_analysis,"Role: Business intelligence analyst for energy operations.
Task: Create a dashboard specification for tracking create stakeholder communication plan.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,89,B,0.08,5,4,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,381,42,94.1,A,Excellent,0,0,0.0
105,data_analysis,Examine write product launch announcement patterns in energy dataset. Provide findings.,medium,84,B,0.36,3,3,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,87,11,55.42,C,Average,0,0,0.0
106,report,Analyze create training video content and write report for science leadership. Include findings.,medium,72,C,0.37,2,2,3,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,96,13,47.85,D,Poor,1,1,0.07692307692307693
107,post,Create content about create social media strategy for design blog. Informative but casual.,medium,76,C,0.35,4,2,4,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,90,13,55.82,C,Average,0,0,0.0
108,code,Write code to build API integration for a retail application. Make sure it works well and handles errors.,medium,78,C,0.4,3,3,4,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,105,18,58.26,C,Average,1,1,0.05555555555555555
109,document,Draft document explaining analyze market trends to healthcare audience.,medium,69,D,0.32,2,3,4,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,71,9,60.7,C,Average,1,2,0.2222222222222222
110,creative,"Role: Creative writer specializing in agriculture narratives.
Task: Write a short story opening (500 words) about create social media strategy.
Instructions: Establish compelling protagonist, hint at conflict, set tone.
Constraints: Third-person limited perspective, contemporary setting.
Output Format: Story excerpt + character brief + potential plot directions.",high,97,A,0.14,4,4,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,368,46,87.34,A,Excellent,0,0,0.0
111,video,create social media strategy movie,low,62,D,0.68,2,2,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,34,5,28.53,F,Very Poor,0,0,0.0
112,other,"Role: Product manager for technology solutions.
Task: Write product requirements for build data pipeline.
Instructions: User stories, acceptance criteria, prioritization.
Constraints: MVP scope, 3-month development cycle.
Output Format: PRD with user stories + feature list + success metrics.",high,93,A,0.23,4,5,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,296,38,83.79,B,Good,1,1,0.02631578947368421
113,video,make create stakeholder communication plan video,low,28,F,0.91,2,2,2,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,48,6,27.93,F,Very Poor,0,0,0.0
114,video,"Role: Professional video producer for environment content.
Task: Create a storyboard for a 3-minute video about create competitor analysis.
Instructions: Include shot composition, transitions, and pacing notes.
Constraints: Must be engaging for social media, include captions.
Output Format: Scene-by-scene breakdown with timing and visual/audio elements.",high,94,A,0.2,5,5,4,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,359,45,88.86,A,Excellent,0,0,0.0
115,image,"Role: Professional graphic designer specializing in strategy visuals.
Task: Create an image depicting analyze website traffic patterns.
Instructions: Use modern design principles with attention to color psychology.
Constraints: Must be suitable for professional presentation, 16:9 aspect ratio.
Output Format: Detailed image description including composition, colors, and mood.",high,93,A,0.08,4,4,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,381,47,89.83,A,Excellent,1,1,0.02127659574468085
116,report,"Role: Market researcher focusing on retail trends.
Task: Analyze and report on build recommendation engine.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,89,B,0.17,5,4,4,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,303,39,85.86,A,Excellent,1,1,0.02564102564102564
117,creative,Create story featuring analyze employee satisfaction data for environment audience. 500 words.,medium,73,C,0.46,3,4,2,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,94,12,52.82,D,Poor,1,1,0.08333333333333333
118,other,develop project timeline plan,low,53,F,0.65,2,2,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,29,4,28.94,F,Very Poor,0,0,0.0
119,document,Draft document explaining build automated testing suite to operations audience.,medium,72,C,0.32,3,2,2,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,79,10,48.77,D,Poor,1,1,0.1
120,data_analysis,"Role: Business intelligence analyst for finance operations.
Task: Create a dashboard specification for tracking implement payment processing.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,87,B,0.07,4,5,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,373,41,94.78,A,Excellent,0,0,0.0
121,creative,"Role: Brand storyteller for real estate companies.
Task: Create a brand origin story about analyze churn rate factors.
Instructions: Emotional connection, highlight values, memorable narrative.
Constraints: 400 words, authentic voice, avoid clichés.
Output Format: Narrative story + key themes + usage guidelines.",high,91,A,0.19,5,5,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,317,42,85.39,A,Excellent,1,1,0.023809523809523808
122,presentation,slides on write press release,low,43,F,0.84,2,1,1,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,29,5,26.21,F,Very Poor,0,0,0.0
123,code,"Role: You are an experienced manufacturing software engineer.
Task: Write a Python function to build API integration.
Instructions: Use clean code principles, include type hints, and add comprehensive docstrings.
Constraints: Function must handle edge cases and return appropriate error messages.
Output Format: Provide the code block followed by 2-3 usage examples.",high,85,B,0.15,5,5,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,370,51,91.23,A,Excellent,1,2,0.0392156862745098
124,creative,Write creative piece about implement payment processing in science context. Engaging style.,medium,66,D,0.4,2,3,3,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,91,12,50.92,D,Poor,0,0,0.0
125,image,Create an image of automate data entry processes for sales purposes. Make it look professional.,medium,74,C,0.44,3,2,2,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,95,15,49.55,D,Poor,0,0,0.0
126,video,Script needed for implement payment processing video. Educational content for education beginners.,medium,75,C,0.53,2,2,2,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,98,12,40.7,D,Poor,0,0,0.0
127,presentation,deck for create social media strategy,low,55,F,0.77,1,1,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,37,6,24.56,F,Very Poor,0,0,0.0
128,image,"Role: UI/UX designer for consulting products.
Task: Design a mockup for write customer case study.
Instructions: Follow modern UI trends, prioritize accessibility.
Constraints: Must comply with WCAG 2.1 AA standards.
Output Format: Wireframe description + visual design specs + interaction notes.",high,97,A,0.17,4,4,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,300,41,81.97,B,Good,0,0,0.0
